Anime Title,entry_id,entry_type,english_name,japanese_name,tmdb_id,anilist_id,Avg. Words/Episode,Unique Words,Kanji Difficulty (1-100),Vocab Difficulty (1-100),Overall Difficulty (1-100),Vocab Density (%),poster_url,episodes,status,genres,start_year,average_score,anilist_img_filename,anilist_status,tmdb_img_filename
Hikari,9339.0,drama_movie,Radiance,光,movie:444428,,1099,485,20.9,6.4,13.6,2.27,https://image.tmdb.org/t/p/w500/l7fR2WW7mnXl0nrZSHeCBxbljeH.jpg,1.0,FINISHED,"Romance, Drama",2017.0,,,not_anilist,l7fR2WW7mnXl0nrZSHeCBxbljeH.jpg
366 Days (2025),10455.0,drama_movie,366 Days (2025),366⽇ (2025),movie:1404326,,1687,514,23.3,7.6,15.5,2.61,https://image.tmdb.org/t/p/w500/z0JoH1WAcLMVo6ok64dhz0ptA92.jpg,1.0,FINISHED,"Drama, Romance",2025.0,,,not_anilist,z0JoH1WAcLMVo6ok64dhz0ptA92.jpg
Dragon Ball Super. Super Hero,1235.0,anime_movie,Dragon Ball Super: SUPER HERO,ドラゴンボール超 スーパーヒーロー,,133898.0,2044,887,24.0,6.8,15.4,2.38,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx133898-KdQ7fWTG06n4.png,1.0,FINISHED,"Action, Adventure, Fantasy, Sci-Fi",2022.0,76.0,bx133898-KdQ7fWTG06n4.png,downloaded,
Otoko wa Tsurai yo. Boku no Oji-san,7974.0,drama_movie,"Tora-san, My Uncle",男はつらいよ　ぼくの伯父さん,movie:319637,,2457,793,27.0,7.1,17.1,2.48,https://image.tmdb.org/t/p/w500/4sYFPLkJSfM3k4GyxI8Q0zV0Jgw.jpg,1.0,FINISHED,Comedy,1989.0,,,not_anilist,4sYFPLkJSfM3k4GyxI8Q0zV0Jgw.jpg
Chanomi Tomodachi,10719.0,drama_movie,Tea Friends,茶飲友達,movie:1077039,,1539,686,27.2,7.1,17.1,2.47,https://image.tmdb.org/t/p/w500/sBHhvmQOicUFuJIBOR95QcSBkLB.jpg,1.0,FINISHED,Drama,2023.0,,,not_anilist,sBHhvmQOicUFuJIBOR95QcSBkLB.jpg
Aokute Itakute Moroi,8226.0,drama_movie,"Blue, Painful, Fragile",青くて痛くて脆い,movie:698208,,2072,703,28.4,5.9,17.1,2.12,https://image.tmdb.org/t/p/w500/fXvfvOJUDi2gYhOmCVfGQaQZpyq.jpg,1.0,FINISHED,"Adventure, Drama",2020.0,,,not_anilist,fXvfvOJUDi2gYhOmCVfGQaQZpyq.jpg
Furin Junai,8865.0,drama_movie,Love and Treachery,不倫純愛,movie:338372,,727,374,29.1,6.2,17.6,2.2,https://image.tmdb.org/t/p/w500/m5E6su9G5spqoiDbSRI8JzuhHho.jpg,1.0,FINISHED,"Romance, Drama, Mystery",2011.0,,,not_anilist,m5E6su9G5spqoiDbSRI8JzuhHho.jpg
Hula Fulla Dance,2044.0,anime_movie,Hula Fulla Dance,フラ・フラダンス,,125841.0,1650,740,29.0,5.6,17.3,2.03,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/b125841-AjrL6uLZrv1g.png,1.0,FINISHED,"Comedy, Drama, Music, Slice of Life, Sports",2021.0,59.0,b125841-AjrL6uLZrv1g.png,downloaded,
Hikikomori Sensei,4629.0,drama_tv,Shut-in Teacher,ひきこもり先生,tv:124294,,835,1334,29.6,7.7,18.7,2.63,https://image.tmdb.org/t/p/w500/15XdN2GPavNZW8C0f3D9Q0czgI1.jpg,7.0,FINISHED,Drama,2021.0,,,not_anilist,15XdN2GPavNZW8C0f3D9Q0czgI1.jpg
Isu,10288.0,drama_tv,Chair,椅子,tv:194489,,411,929,30.1,7.0,18.5,2.43,https://image.tmdb.org/t/p/w500/2TONoI4YKGRkbUUdCO3elfwBjf1.jpg,8.0,FINISHED,Drama,2022.0,70.0,,not_anilist,2TONoI4YKGRkbUUdCO3elfwBjf1.jpg
